1, 1, 191 
1, 2, 472 
1, 3, 637 
1, 4, 517 
1, 5, 868 
1, 6, 834 
1, 7, 601 
1, 8, 932 
1, 9, 1129 
1, 10, 1143 
1, 11, 1059 
1, 12, 1171 
1, 13, 1121 
1, 14, 1322 
1, 15, 1299 
10, 1, 185 
10, 2, 405 
10, 3, 690 
10, 4, 1234 
10, 5, 708 
10, 6, 957 
10, 7, 989 
10, 8, 908 
10, 9, 974 
10, 10, 1138 
10, 11, 1429 
10, 12, 1196 
10, 13, 2311 
10, 14, 1736 
10, 15, 869 
100, 1, 141 
100, 2, 178 
100, 3, 279 
100, 4, 275 
100, 5, 382 
100, 6, 387 
100, 7, 489 
100, 8, 494 
100, 9, 533 
100, 10, 615 
100, 11, 630 
100, 12, 677 
100, 13, 813 
100, 14, 799 
100, 15, 1017 
1000, 1, 156 
1000, 2, 194 
1000, 3, 258 
1000, 4, 296 
1000, 5, 348 
1000, 6, 412 
1000, 7, 465 
1000, 8, 533 
1000, 9, 526 
1000, 10, 603 
1000, 11, 651 
1000, 12, 746 
1000, 13, 1102 
1000, 14, 794 
1000, 15, 996 
10000, 1, 183 
10000, 2, 206 
10000, 3, 268 
10000, 4, 299 
10000, 5, 357 
10000, 6, 446 
10000, 7, 472 
10000, 8, 540 
10000, 9, 975 
10000, 10, 970 
10000, 11, 658 
10000, 12, 762 
10000, 13, 812 
10000, 14, 1281 
10000, 15, 1499 
100000, 1, 527 
100000, 2, 486 
100000, 3, 705 
100000, 4, 763 
100000, 5, 844 
100000, 6, 1051 
100000, 7, 1047 
100000, 8, 1201 
100000, 9, 1052 
100000, 10, 1235 
100000, 11, 3056 
100000, 12, 1515 
100000, 13, 1611 
100000, 14, 1513 
100000, 15, 1720 
1000000, 1, 3960 
1000000, 2, 2844 
1000000, 3, 2005 
1000000, 4, 2223 
1000000, 5, 2068 
1000000, 6, 2048 
1000000, 7, 2077 
1000000, 8, 2129 
1000000, 9, 2229 
1000000, 10, 2243 
1000000, 11, 2543 
1000000, 12, 2301 
1000000, 13, 2502 
1000000, 14, 2322 
1000000, 15, 2539 
10000000, 1, 34064 
10000000, 2, 18799 
10000000, 3, 16971 
10000000, 4, 14591 
10000000, 5, 17609 
10000000, 6, 15670 
10000000, 7, 15963 
10000000, 8, 16772 
10000000, 9, 16921 
10000000, 10, 17368 
10000000, 11, 16631 
10000000, 12, 17376 
10000000, 13, 19961 
10000000, 14, 18081 
10000000, 15, 17697 
100000000, 1, 346157 
100000000, 2, 188423 
100000000, 3, 160749 
100000000, 4, 136968 
100000000, 5, 152070 
100000000, 6, 155482 
100000000, 7, 158303 
100000000, 8, 165935 
100000000, 9, 170273 
100000000, 10, 173491 
100000000, 11, 178886 
100000000, 12, 181069 
100000000, 13, 190697 
100000000, 14, 196524 
100000000, 15, 200321  
