1, 1, 759 
1, 2, 351 
1, 3, 630 
1, 4, 631 
1, 5, 849 
1, 6, 922 
1, 7, 1246 
1, 8, 1287 
1, 9, 1123 
1, 10, 1092 
1, 11, 1281 
1, 12, 1306 
1, 13, 1174 
1, 14, 1350 
1, 15, 1374 
10, 1, 157 
10, 2, 262 
10, 3, 580 
10, 4, 1441 
10, 5, 867 
10, 6, 1009 
10, 7, 881 
10, 8, 893 
10, 9, 1042 
10, 10, 1229 
10, 11, 1153 
10, 12, 1207 
10, 13, 2544 
10, 14, 770 
10, 15, 1122 
100, 1, 134 
100, 2, 189 
100, 3, 259 
100, 4, 394 
100, 5, 343 
100, 6, 471 
100, 7, 466 
100, 8, 525 
100, 9, 907 
100, 10, 618 
100, 11, 665 
100, 12, 785 
100, 13, 779 
100, 14, 935 
100, 15, 901 
1000, 1, 162 
1000, 2, 201 
1000, 3, 325 
1000, 4, 323 
1000, 5, 375 
1000, 6, 469 
1000, 7, 455 
1000, 8, 503 
1000, 9, 610 
1000, 10, 636 
1000, 11, 732 
1000, 12, 761 
1000, 13, 857 
1000, 14, 884 
1000, 15, 929 
10000, 1, 192 
10000, 2, 241 
10000, 3, 283 
10000, 4, 311 
10000, 5, 393 
10000, 6, 399 
10000, 7, 506 
10000, 8, 519 
10000, 9, 1490 
10000, 10, 799 
10000, 11, 708 
10000, 12, 728 
10000, 13, 1572 
10000, 14, 1270 
10000, 15, 1346 
100000, 1, 970 
100000, 2, 850 
100000, 3, 760 
100000, 4, 1157 
100000, 5, 1027 
100000, 6, 1168 
100000, 7, 1187 
100000, 8, 1221 
100000, 9, 1522 
100000, 10, 1407 
100000, 11, 1494 
100000, 12, 1705 
100000, 13, 1619 
100000, 14, 2634 
100000, 15, 1940 
1000000, 1, 5864 
1000000, 2, 3683 
1000000, 3, 3109 
1000000, 4, 2805 
1000000, 5, 3109 
1000000, 6, 2911 
1000000, 7, 3354 
1000000, 8, 3064 
1000000, 9, 3161 
1000000, 10, 3181 
1000000, 11, 3164 
1000000, 12, 3689 
1000000, 13, 3832 
1000000, 14, 3491 
1000000, 15, 3672 
10000000, 1, 48765 
10000000, 2, 26166 
10000000, 3, 28000 
10000000, 4, 22474 
10000000, 5, 26519 
10000000, 6, 25483 
10000000, 7, 25291 
10000000, 8, 56722 
10000000, 9, 26266 
10000000, 10, 26178 
10000000, 11, 27149 
10000000, 12, 27894 
10000000, 13, 31652 
10000000, 14, 28472 
10000000, 15, 34456 
100000000, 1, 477384 
100000000, 2, 260878 
100000000, 3, 266916 
100000000, 4, 230291 
100000000, 5, 282558 
100000000, 6, 261594 
100000000, 7, 259295 
100000000, 8, 260781 
100000000, 9, 265213 
100000000, 10, 274392 
100000000, 11, 278085 
100000000, 12, 284987 
100000000, 13, 291697 
100000000, 14, 296656 
100000000, 15, 306941 
